Age,Balance,IsActiveMember,Gender_encoded,Exited
42,0.0,1,1,1
41,83807.86,1,1,0
42,159660.8,0,1,1
39,0.0,0,1,0
43,125510.82,1,1,0
44,113755.78,0,0,1
50,0.0,1,0,0
29,115046.74,0,1,1
44,142051.07,1,0,0
37,134603.88,1,0,0
31,102016.72,0,0,0
24,0.0,0,0,0
34,0.0,0,1,0
25,0.0,0,1,0
35,0.0,1,1,0
45,143129.41,1,0,0
58,132602.88,0,0,1
24,0.0,1,1,0
45,0.0,0,0,0
24,0.0,1,1,0
41,0.0,1,0,0
32,0.0,0,1,0
38,0.0,0,1,1
46,0.0,1,0,0
38,0.0,1,1,0
25,0.0,1,0,0
36,136815.64,1,0,0
44,0.0,0,0,0
43,141349.43,1,1,0
29,59697.17,1,0,0
39,0.0,0,1,1
36,85311.7,1,0,0
41,110112.54,0,0,0
42,0.0,1,1,0
29,0.0,1,1,0
45,134264.04,0,1,1
31,145260.23,1,0,0
33,76548.6,1,0,0
36,0.0,1,0,0
41,70349.48,1,0,0
40,0.0,0,0,0
51,122522.32,0,1,1
61,117419.35,1,1,0
49,131394.56,0,1,1
61,155931.11,1,1,0
32,109421.13,1,1,0
27,112045.67,1,1,1
39,137843.8,1,1,1
38,103391.38,1,0,0
37,103769.22,0,1,0
44,116363.37,0,0,0
36,146050.97,0,0,0
33,0.0,0,1,0
41,125561.97,0,0,1
42,98495.72,0,0,1
43,125211.92,1,0,0
45,127864.4,0,0,0
19,75888.2,0,0,0
66,0.0,0,1,1
51,40685.92,1,0,0
35,136857.0,0,0,0
27,152328.88,0,1,0
33,56084.69,0,0,0
56,78707.16,1,0,0
26,109166.37,1,0,0
36,169831.46,1,1,0
34,101633.04,0,1,0
43,123180.01,1,0,0
35,150725.53,1,1,0
21,98373.26,0,1,0
58,133745.44,0,0,1
29,0.0,0,0,0
37,163607.18,1,1,0
25,157780.84,1,1,0
36,0.0,1,0,0
21,178718.19,0,1,0
55,0.0,1,0,0
32,0.0,1,1,0
33,77253.22,1,0,0
41,122189.66,0,1,0
34,96645.54,0,1,0
32,0.0,0,1,1
36,0.0,0,1,0
34,90307.62,1,1,0
46,0.0,0,1,0
75,0.0,1,1,0
22,121681.82,0,0,1
30,0.0,0,0,0
46,0.0,0,1,1
28,81623.67,1,1,0
44,0.0,1,1,1
45,118626.55,0,0,0
36,0.0,0,1,0
29,0.0,1,0,0
42,0.0,1,0,0
35,176273.95,1,0,0
41,102827.44,1,0,0
29,97086.4,1,0,0
22,0.0,0,0,0
34,0.0,0,0,0
